"P","L","Ecoef","inv","Lcost","volcost","grpsz","N","expected_vol","Leader_payment","Non_Ldr_return","Ldr_return","Flwr_return","Acephalous_return","GrpBenefitToLdr","LdrNetBenefit","volunteering","LFReturnRatio"
0,1,0,0.1,0,0,5,100,1,0,30.5260593005785,5.1,5.1,5,0.5,0,"all",1
1,1,0,0.1,0,0,5,100,0,0,30.5260593005785,6,6.1,6,0.399999999999999,-0.0999999999999996,"none",0.983606557377049
3,1,0,0.1,0,0,5,100,0,0,30.5260593005785,7.8,8.1,8,0.199999999999996,-0.3,"none",0.962962962962963
7,1,0,0.1,0,0,5,100,0,0,30.5260593005785,11.4,12.1,12,-0.200000000000003,-0.700000000000001,"none",0.942148760330578
12,1,0,0.1,0,0,5,100,0,0,30.5260593005785,15.9,17.1,17,-0.699999999999989,-1.2,"none",0.929824561403509
15,1,0,0.1,0,0,5,100,0,0,30.5260593005785,18.6,20.1,20,-1,-1.5,"none",0.925373134328358
0,3,0,0.1,0,0,5,100,1,0,30.5260593005785,5.3,5.3,5,1.5,0,"all",1
1,3,0,0.1,0,0,5,100,0.272319174990503,0,30.5260593005785,6.2,6.3,6,1.4,-0.0999999999999996,"rare",0.984126984126984
3,3,0,0.1,0,0,5,100,0,0,30.5260593005785,8,8.3,8,1.2,-0.300000000000001,"none",0.963855421686747
7,3,0,0.1,0,0,5,100,0,0,30.5260593005785,11.6,12.3,12,0.800000000000004,-0.700000000000001,"none",0.943089430894309
12,3,0,0.1,0,0,5,100,0,0,30.5260593005785,16.1,17.3,17,0.300000000000011,-1.2,"none",0.930635838150289
15,3,0,0.1,0,0,5,100,0,0,30.5260593005785,18.8,20.3,20,0,-1.5,"none",0.926108374384236
0,7,0,0.1,0,0,5,100,1,0,30.5260593005785,5.7,5.7,5,3.5,0,"all",1
1,7,0,0.1,0,0,5,100,0.418047535819435,0,30.5260593005785,6.6,6.7,6,3.4,-0.0999999999999996,"common",0.985074626865672
3,7,0,0.1,0,0,5,100,0.219224337330973,0,30.5260593005785,8.4,8.7,8,3.2,-0.299999999999999,"rare",0.96551724137931
7,7,0,0.1,0,0,5,100,0,0,30.5260593005785,12,12.7,12,2.8,-0.699999999999999,"none",0.94488188976378
