"P","L","Ecoef","Lcost","volcost","grpsz","N","expected_vol","Leader_payment","Leader_inv","Non_Ldr_return","Ldr_return","Flwr_return","Acephalous_return"
0,1,0,0,0,5,100,0.990014741546861,0,0.504995614558071,20.3121699752322,5.1,5.1,5
1,1,0,0,0,5,100,0.00198019801980198,0,0,20.3121699752322,6,6.1,6
3,1,0,0,0,5,100,0,0,0,20.3121699752322,7.8,8.1,8
7,1,0,0,0,5,100,0.00198019801980198,0,0,20.3121699752322,11.4,12.1,12
12,1,0,0,0,5,100,0,0,0,20.3121699752322,15.9,17.1,17
15,1,0,0,0,5,100,0,0,0,20.3121699752322,18.6,20.1,20
0,3,0,0,0,5,100,0.990022069229829,0,0.504998760242892,20.3121699752322,5.3,5.3,5
1,3,0,0,0,5,100,0.272564068236305,0,0.502010261381163,20.3121699752322,6.2,6.3,6
3,3,0,0,0,5,100,0,0,0,20.3121699752322,8,8.3,8
7,3,0,0,0,5,100,0.00198019801980198,0,0,20.3121699752322,11.6,12.3,12
12,3,0,0,0,5,100,0,0,0,20.3121699752322,16.1,17.3,17
15,3,0,0,0,5,100,0,0,0,20.3121699752322,18.8,20.3,20
0,7,0,0,0,5,100,0.990055043803184,0,0.504996521394425,20.3121699752322,5.7,5.7,5
1,7,0,0,0,5,100,0.417183176051894,0,0.503164378652362,20.3121699752322,6.6,6.7,6
3,7,0,0,0,5,100,0.218476313021889,0,0.506241273223783,20.3121699752322,8.4,8.7,8
7,7,0,0,0,5,100,0.00198019801980198,0,0,20.3121699752322,12,12.7,12
12,7,0,0,0,5,100,0,0,0,20.3121699752322,16.5,17.7,17
15,7,0,0,0,5,100,0,0,0,20.3121699752322,19.2,20.7,20
0,12,0,0,0,5,100,0.990011077705377,0,0.50499367161734,20.3121699752322,6.2,6.2,5
1,12,0,0,0,5,100,0.489275951902336,0,0.503460027929398,20.3121699752322,7.1,7.2,6
3,12,0,0,0,5,100,0.32594076788591,0,0.505925551528041,20.3121699752322,8.9,9.2,8
7,12,0,0,0,5,100,0.14743305012589,0,0.500086298492646,20.3121699752322,12.5,13.2,12
12,12,0,0,0,5,100,0,0,0,20.3121699752322,17,18.2,17
15,12,0,0,0,5,100,0,0,0,20.3121699752322,19.7,21.2,20
0,15,0,0,0,5,100,0.990069699169119,0,0.505005217831125,20.3121699752322,6.5,6.5,5
1,15,0,0,0,5,100,0.51563656891308,0,0.50348851968773,20.3121699752322,7.4,7.5,6
3,15,0,0,0,5,100,0.364190200616295,0,0.505828253035041,20.3121699752322,9.2,9.5,8
7,15,0,0,0,5,100,0.201814650905017,0,0.501687330982767,20.3121699752322,12.8,13.5,12
12,15,0,0,0,5,100,0.0577857618029857,0,0.507869244760756,20.3121699752322,17.3,18.5,17
15,15,0,0,0,5,100,0,0,0,20.3121699752322,20,21.5,20
0,1,0.1,0,0,5,100,0.990014741546861,0,0.504995614558071,20.3121699752322,5.1,5.1,5
1,1,0.1,0,0,5,100,0.00198019801980198,0,0,20.3121699752322,6,6.1,6
3,1,0.1,0,0,5,100,0,0,0,20.3121699752322,7.8,8.1,8
7,1,0.1,0,0,5,100,0.00198019801980198,0,0,20.3121699752322,11.4,12.1,12
12,1,0.1,0,0,5,100,0,0,0,20.3121699752322,15.9,17.1,17
15,1,0.1,0,0,5,100,0,0,0,20.3121699752322,18.6,20.1,20
0,3,0.1,0,0,5,100,0.990022069229829,0,0.504998760242892,20.3121699752322,5.3,5.3,5
1,3,0.1,0,0,5,100,0.272564068236305,0,0.502010261381163,20.3121699752322,6.2,6.3,6
3,3,0.1,0,0,5,100,0,0,0,20.3121699752322,8,8.3,8
7,3,0.1,0,0,5,100,0.00198019801980198,0,0,20.3121699752322,11.6,12.3,12
12,3,0.1,0,0,5,100,0,0,0,20.3121699752322,16.1,17.3,17
15,3,0.1,0,0,5,100,0,0,0,20.3121699752322,18.8,20.3,20
0,7,0.1,0,0,5,100,0.990055043803184,0,0.504996521394425,20.3121699752322,5.7,5.7,5
1,7,0.1,0,0,5,100,0.417183176051894,0,0.503164378652362,20.3121699752322,6.6,6.7,6
3,7,0.1,0,0,5,100,0.218476313021889,0,0.506241273223783,20.3121699752322,8.4,8.7,8
7,7,0.1,0,0,5,100,0.00198019801980198,0,0,20.3121699752322,12,12.7,12
12,7,0.1,0,0,5,100,0,0,0,20.3121699752322,16.5,17.7,17
15,7,0.1,0,0,5,100,0,0,0,20.3121699752322,19.2,20.7,20
0,12,0.1,0,0,5,100,0.990011077705377,0,0.50499367161734,20.3121699752322,6.2,6.2,5
1,12,0.1,0,0,5,100,0.489275951902336,0,0.503460027929398,20.3121699752322,7.1,7.2,6
3,12,0.1,0,0,5,100,0.32594076788591,0,0.505925551528041,20.3121699752322,8.9,9.2,8
7,12,0.1,0,0,5,100,0.14743305012589,0,0.500086298492646,20.3121699752322,12.5,13.2,12
12,12,0.1,0,0,5,100,0,0,0,20.3121699752322,17,18.2,17
15,12,0.1,0,0,5,100,0,0,0,20.3121699752322,19.7,21.2,20
0,15,0.1,0,0,5,100,0.990069699169119,0,0.505005217831125,20.3121699752322,6.5,6.5,5
1,15,0.1,0,0,5,100,0.51563656891308,0,0.50348851968773,20.3121699752322,7.4,7.5,6
3,15,0.1,0,0,5,100,0.364190200616295,0,0.505828253035041,20.3121699752322,9.2,9.5,8
7,15,0.1,0,0,5,100,0.201814650905017,0,0.501687330982767,20.3121699752322,12.8,13.5,12
12,15,0.1,0,0,5,100,0.0577857618029857,0,0.507869244760756,20.3121699752322,17.3,18.5,17
15,15,0.1,0,0,5,100,0,0,0,20.3121699752322,20,21.5,20
0,1,0.4,0,0,5,100,0.990014741546861,0,0.504995614558071,20.3121699752322,5.1,5.1,5
1,1,0.4,0,0,5,100,0.113610460197907,0.200030151684727,0.0998608632360628,20.3121699752322,6.04000603033695,6.05999396966305,6
3,1,0.4,0,0,5,100,0,0,0,20.3121699752322,7.8,8.1,8
7,1,0.4,0,0,5,100,0.00198019801980198,0,0,20.3121699752322,11.4,12.1,12
12,1,0.4,0,0,5,100,0,0,0,20.3121699752322,15.9,17.1,17
15,1,0.4,0,0,5,100,0,0,0,20.3121699752322,18.6,20.1,20
0,3,0.4,0,0,5,100,0.990022069229829,0,0.504998760242892,20.3121699752322,5.3,5.3,5
1,3,0.4,0,0,5,100,0.300634375502715,0.050043842081912,0.4670060556015,20.3121699752322,6.21000876841638,6.28999123158362,6
3,3,0.4,0,0,5,100,0.125811991513785,0.675068861999344,0.112922207294554,20.3121699752322,8.13501377239987,8.16498622760013,8
