"P","L","LL","Ecoef","Lcost","volcost","grpsz","expected_vol","Leader_payment","Leader_inv","Leader_return","Follower_return","No_Ldr_Return"
0,1,0.1,0.1,0,0,5,0.991789592081715,0,0.50409592962842,5.55368633666558,5.55368633666558,5.1
1,1,0.1,0.1,0,0,5,0,0,0,6.1,6.1,6.1
3,1,0.1,0.1,0,0,5,0.00198019801980198,0,0,8.1,8.1,8.1
7,1,0.1,0.1,0,0,5,0.00099009900990099,0,0,12.1,12.1,12.1
15,1,0.1,0.1,0,0,5,0.00099009900990099,0,0,20.1,20.1,20.1
0,3,0.1,0.1,0,0,5,0.991848213545457,0,0.504098236373749,6.56188488548387,6.56188488548387,5.1
1,3,0.1,0.1,0,0,5,0.26374568631921,0,0.505665351489994,7.06076416783099,7.56642951932098,6.1
3,3,0.1,0.1,0,0,5,0.00198019801980198,0,0,8.1,8.1,8.1
7,3,0.1,0.1,0,0,5,0.00099009900990099,0,0,12.1,12.1,12.1
15,3,0.1,0.1,0,0,5,0.00099009900990099,0,0,20.1,20.1,20.1
0,7,0.1,0.1,0,0,5,0.99009900990099,7.72719247406911e-05,0.505,8.58449227280753,8.58448454561505,5.1
1,7,0.1,0.1,0,0,5,0.413129065618207,0,0.505563633428066,9.08282543722559,9.58838907065365,6.1
3,7,0.1,0.1,0,0,5,0.217260933800246,0,0.501588176484054,10.0561938882878,11.56095841774,8.1
7,7,0.1,0.1,0,0,5,0.00099009900990099,0,0,12.1,12.1,12.1
15,7,0.1,0.1,0,0,5,0.00099009900990099,0,0,20.1,20.1,20.1
0,15,0.1,0.1,0,0,5,0.99009900990099,6.83053888394562e-05,0.505,12.6244931694611,12.6244863389222,5.1
1,15,0.1,0.1,0,0,5,0.51290858813246,0,0.50544137613933,13.1256351283367,13.631076504476,6.1
3,15,0.1,0.1,0,0,5,0.363093882175194,6.83053888394562e-05,0.505835202708018,14.1194320816865,15.6369308592717,8.1
7,15,0.1,0.1,0,0,5,0.198246123588477,6.87903287934952e-05,0.506629754930303,16.1023681849165,19.6487695903958,12.1
15,15,0.1,0.1,0,0,5,0.00099009900990099,0,0,20.1,20.1,20.1
0,1,0.4,0.1,0,0,5,0.990792165388846,0,0.504597410494066,5.70275844629644,5.70275844629644,5.4
1,1,0.4,0.1,0,0,5,0.00217821782178218,0,0,6.4,6.4,6.4
3,1,0.4,0.1,0,0,5,0.00425742574257426,0,0,8.4,8.4,8.4
7,1,0.4,0.1,0,0,5,0.00237623762376238,0,0,12.4,12.4,12.4
15,1,0.4,0.1,0,0,5,0.00178217821782178,0,0,20.4,20.4,20.4
0,3,0.4,0.1,0,0,5,0.990832467645169,0,0.504597482335563,6.71195345407246,6.71195345407246,5.4
1,3,0.4,0.1,0,0,5,0.241054339503612,6.23743036756038e-05,0.50566445948144,7.20905689773994,7.71471511979101,6.4
3,3,0.4,0.1,0,0,5,0.00425742574257426,0,0,8.4,8.4,8.4
7,3,0.4,0.1,0,0,5,0.00237623762376238,0,0,12.4,12.4,12.4
15,3,0.4,0.1,0,0,5,0.00178217821782178,0,0,20.4,20.4,20.4
0,7,0.4,0.1,0,0,5,0.99009900990099,6.83053888394562e-05,0.505,8.73299316946112,8.73298633892223,5.4
1,7,0.4,0.1,0,0,5,0.406458381167075,6.83053888394562e-05,0.505573576184196,9.23120519609261,9.73677194173792,6.4
3,7,0.4,0.1,0,0,5,0.204446113860025,0.362687528828018,0.509098557592857,10.1964860544515,11.6875129743472,8.4
7,7,0.4,0.1,0,0,5,0.00237623762376238,0,0,12.4,12.4,12.4
15,7,0.4,0.1,0,0,5,0.00178217821782178,0,0,20.4,20.4,20.4
0,15,0.4,0.1,0,0,5,0.99009900990099,7.76533572302916e-05,0.505,12.7729922346643,12.7729844693286,5.4
1,15,0.4,0.1,0,0,5,0.510566930669697,6.67071263911328e-05,0.505449995009929,13.2741132614224,13.7795565857197,6.4
3,15,0.4,0.1,0,0,5,0.359680281821251,6.83053888394562e-05,0.505858516670282,14.2679519628364,15.7855206823083,8.4
7,15,0.4,0.1,0,0,5,0.193519846676519,5.91489207128889e-05,0.506627564681795,16.2503635766896,19.7967506145701,12.4
15,15,0.4,0.1,0,0,5,0.00178217821782178,0,0,20.4,20.4,20.4
0,1,0.9,0.1,0,0,5,0.991770647272082,0,0.504095446257973,5.9504095446258,5.9504095446258,5.9
1,1,0.9,0.1,0,0,5,0.00772277227722772,0,0,6.9,6.9,6.9
3,1,0.9,0.1,0,0,5,0.00188118811881188,0,0,8.9,8.9,8.9
7,1,0.9,0.1,0,0,5,0.00148514851485149,0,0,12.9,12.9,12.9
15,1,0.9,0.1,0,0,5,0.00178217821782178,0,0,20.9,20.9,20.9
0,3,0.9,0.1,0,0,5,0.99009900990099,7.54103140838016e-05,0.505,6.96049245896859,6.96048491793718,5.9
1,3,0.9,0.1,0,0,5,0.201278413541778,0,0.486238687739504,7.43486255651345,7.92110124425296,6.9
3,3,0.9,0.1,0,0,5,0.00188118811881188,0,0,8.9,8.9,8.9
7,3,0.9,0.1,0,0,5,0.00148514851485149,0,0,12.9,12.9,12.9
15,3,0.9,0.1,0,0,5,0.00178217821782178,0,0,20.9,20.9,20.9
0,7,0.9,0.1,0,0,5,0.99009900990099,5.03830286345964e-05,0.505,8.98049496169714,8.98048992339427,5.9
1,7,0.9,0.1,0,0,5,0.394499091212453,4.14089670908491e-05,0.505539173509269,9.47824564400056,9.98378067661312,6.9
3,7,0.9,0.1,0,0,5,0.188621773057617,0,0.501118189787115,10.4534663883401,11.9568209577014,8.9
7,7,0.9,0.1,0,0,5,0.00148514851485149,0,0,12.9,12.9,12.9
15,7,0.9,0.1,0,0,5,0.00178217821782178,0,0,20.9,20.9,20.9
0,15,0.9,0.1,0,0,5,0.99009900990099,7.2106098622317e-05,0.505,13.0204927893901,13.0204855787803,5.9
1,15,0.9,0.1,0,0,5,0.514115722360342,0,0.497874422330801,13.4221549325335,13.9200293548643,6.9
3,15,0.9,0.1,0,0,5,0.353771031668483,6.83053888394562e-05,0.505831221269206,14.5147197255493,16.032206558818,8.9
7,15,0.9,0.1,0,0,5,0.186696487173932,0,0.502582710824881,16.4683372468567,19.9864162226308,12.9
15,15,0.9,0.1,0,0,5,0.00178217821782178,0,0,20.9,20.9,20.9
0,1,1,0.1,0,0,5,0.2,0,0.5,6,6,6
1,1,1,0.1,0,0,5,0.00910891089108911,0,0,7,7,7
3,1,1,0.1,0,0,5,0.000792079207920792,0,0,9,9,9
7,1,1,0.1,0,0,5,0,0,0,13,13,13
15,1,1,0.1,0,0,5,0.00178217821782178,0,0,21,21,21
0,3,1,0.1,0,0,5,0.99009900990099,6.74765272892243e-05,0.505,7.00999325234727,7.00998650469454,6
1,3,1,0.1,0,0,5,0.191175464662284,0,0.481550551504392,7.48155055150439,7.96310110300878,7
3,3,1,0.1,0,0,5,0.000792079207920792,0,0,9,9,9
7,3,1,0.1,0,0,5,0,0,0,13,13,13
15,3,1,0.1,0,0,5,0.00178217821782178,0,0,21,21,21
0,7,1,0.1,0,0,5,0.99009900990099,4.79994800731738e-05,0.505,9.02999520005199,9.02999040010399,6
1,7,1,0.1,0,0,5,0.391990673507198,5.87175569403241e-05,0.50554753606237,9.52773180855616,10.0332734728628,7
3,7,1,0.1,0,0,5,0.183646816850161,0,0.504041565025674,10.512124695077,12.024249390154,9
7,7,1,0.1,0,0,5,0,0,0,13,13,13
15,7,1,0.1,0,0,5,0.00178217821782178,0,0,21,21,21
0,15,1,0.1,0,0,5,0.99009900990099,7.09490989697954e-05,0.505,13.0699929050901,13.0699858101802,6
1,15,1,0.1,0,0,5,0.514636561727505,0,0.49651457524651,13.4546894782046,13.9512040534511,7
3,15,1,0.1,0,0,5,0.352573535671906,6.83053888394562e-05,0.505839251842065,14.5642249397238,16.0817358647111,9
7,15,1,0.1,0,0,5,0.1835181282478,0,0.50663614325082,16.5464530027557,20.0929060055115,13
15,15,1,0.1,0,0,5,0.00178217821782178,0,0,21,21,21
0,1,0.1,0.4,0,0,5,0.991789592081715,0,0.50409592962842,5.55368633666558,5.55368633666558,5.1
