"P","L","Ecoef","Lcost","volcost","grpsz","N","expected_vol","Leader_payment","Leader_inv","Leader_return","Follower_return","No_Ldr_Return"
0,1,0,0,0,5,100,0.990014741546861,0,0.504995614558071,5.50499561455807,5.50499561455807,5
1,1,0,0,0,5,100,0.00198019801980198,0,0,6,6,6
3,1,0,0,0,5,100,0,0,0,8,8,8
7,1,0,0,0,5,100,0.00198019801980198,0,0,12,12,12
12,1,0,0,0,5,100,0,0,0,17,17,17
15,1,0,0,0,5,100,0,0,0,20,20,20
0,3,0,0,0,5,100,0.990022069229829,0,0.504998760242892,6.51499628072868,6.51499628072868,5
1,3,0,0,0,5,100,0.272564068236305,0,0.502010261381163,7.00402052276233,7.50603078414349,6
3,3,0,0,0,5,100,0,0,0,8,8,8
7,3,0,0,0,5,100,0.00198019801980198,0,0,12,12,12
12,3,0,0,0,5,100,0,0,0,17,17,17
15,3,0,0,0,5,100,0,0,0,20,20,20
0,7,0,0,0,5,100,0.990055043803184,0,0.504996521394425,8.53497564976098,8.53497564976098,5
1,7,0,0,0,5,100,0.398222540822071,0.595789099381598,0.520454660374911,9.00357014237314,9.52402480274806,6
3,7,0,0,0,5,100,0.108985034368879,4.84110870590593,0.685179097764008,9.77249464987485,11.8280319431669,8
7,7,0,0,0,5,100,0.00198019801980198,0,0,12,12,12
12,7,0,0,0,5,100,0,0,0,17,17,17
15,7,0,0,0,5,100,0,0,0,20,20,20
0,12,0,0,0,5,100,0.990011077705377,0,0.50499367161734,11.0599240594081,11.0599240594081,5
1,12,0,0,0,5,100,0.489275951902336,0,0.503460027929398,11.5380603072234,12.0415203351528,6
3,12,0,0,0,5,100,0.279559390575182,2.6616180410177,0.557765769216982,12.4875683147493,14.1608656224002,8
7,12,0,0,0,5,100,0.0533105616761715,7.99682362265311,0.710570045866116,13.9534855048,18.9274758258628,12
12,12,0,0,0,5,100,0,0,0,17,17,17
15,12,0,0,0,5,100,0,0,0,20,20,20
0,15,0,0,0,5,100,0.990069699169119,0,0.505005217831125,12.5750782674669,12.5750782674669,5
1,15,0,0,0,5,100,0.51563656891308,0,0.50348851968773,13.0488392756282,13.5523277953159,6
3,15,0,0,0,5,100,0.337710158943187,1.78082345148632,0.532907634956492,14.0387269291806,15.6374498340501,8
7,15,0,0,0,5,100,0.102985574184586,9.24148115039091,0.668179427490442,15.4971391898453,20.1743951822784,12
